citation_name,date_signed,state,effective_date,expiration_date,prohibited_issuing_groups,vaccination_prohibition_groups,vaccination_requirement_details,vaccination_person_exact_term,vaccination_person_definition,vaccination_issuer_exact_term,vaccination_issuer_definition,vaccination_prohibition_exemptions
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – governor,School workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – governor,Visitors to government buildings,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – health department,Congregate facility workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – health department,Government workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – health department,Healthcare workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – health department,IHE students,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – health department,K-12 students,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – health department,Long-term care facility workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – health department,Patrons of businesses,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – health department,Private business employees,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – health department,School workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – health department,Visitors to government buildings,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – local (not school district),Congregate facility workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – local (not school district),Government workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – local (not school district),Healthcare workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – local (not school district),IHE students,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – local (not school district),K-12 students,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – local (not school district),Long-term care facility workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – local (not school district),Patrons of businesses,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – local (not school district),Private business employees,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – local (not school district),School workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – local (not school district),Visitors to government buildings,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – other,Congregate facility workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – other,Government workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – other,Healthcare workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – other,IHE students,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – other,K-12 students,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – other,Long-term care facility workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – other,Patrons of businesses,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – other,Private business employees,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – other,School workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – other,Visitors to government buildings,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – state education department,IHE students,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – state education department,K-12 students,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Government – state education department,School workers,Prohibits requiring vaccination,[an individual],an individual,[state or local government entity],"state or local government entity, or any of its officers or agents",[]
AL SB 267 (2021),05/23/2021 12:00:00 AM,Alabama,05/24/2021 12:00:00 AM,,Private businesses,Patrons of businesses,Prohibits requiring vaccination,[customer],customer,"[entity , individual]",An entity or individual doing business in this state,[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – school district,K-12 students,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – school district,K-12 students,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – school district,School workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – school district,School workers,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – governor,Congregate facility workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – governor,Government workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – governor,IHE students,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – governor,K-12 students,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – governor,Patrons of businesses,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – governor,Private business employees,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – governor,School workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – governor,Visitors to government buildings,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – health department,Congregate facility workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – health department,Government workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – health department,IHE students,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – health department,K-12 students,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – health department,Patrons of businesses,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – health department,Private business employees,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – health department,School workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – health department,Visitors to government buildings,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – local (not school district),Congregate facility workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – local (not school district),Congregate facility workers,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – local (not school district),Government workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – local (not school district),Government workers,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – local (not school district),Healthcare workers,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – local (not school district),IHE students,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – local (not school district),IHE students,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – local (not school district),K-12 students,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – local (not school district),K-12 students,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – local (not school district),Long-term care facility workers,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – local (not school district),Patrons of businesses,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – local (not school district),Patrons of businesses,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – local (not school district),Private business employees,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – local (not school district),Private business employees,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – local (not school district),School workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – local (not school district),School workers,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – local (not school district),Visitors to government buildings,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – local (not school district),Visitors to government buildings,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – other,Congregate facility workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – other,Congregate facility workers,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – other,Government workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – other,Government workers,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – other,Healthcare workers,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – other,IHE students,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – other,IHE students,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – other,K-12 students,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – other,K-12 students,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – other,Long-term care facility workers,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – other,Patrons of businesses,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – other,Patrons of businesses,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – other,Private business employees,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – other,Private business employees,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – other,School workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – other,School workers,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – other,Visitors to government buildings,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"Ariz. Exec. Order No. 2021-18 (Aug. 16, 2021)",08/16/2021 12:00:00 AM,Arizona,08/16/2021 12:00:00 AM,,Government – other,Visitors to government buildings,Prohibits requiring vaccination,[person],a person,"[county, city, town, political subdivision]","any county, city, town, political subdivision",[]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – state education department,IHE students,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – state education department,K-12 students,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
"AZ HB 2498 (signed Apr. 25, 2022)",04/25/2022 12:00:00 AM,Arizona,04/25/2022 12:00:00 AM,,Government – state education department,School workers,Prohibits requiring vaccination,[an Arizona resident],an Arizona resident,[government entity],a government entity,[Mandates may be issued for healthcare workers]
Ark. Act 1030 (2021),04/29/2021 12:00:00 AM,Arkansas,04/29/2021 12:00:00 AM,,Government – school district,K-12 students,Prohibits requiring vaccination,[individual],not defined further,"[state, state agency or entity, political subdivision of the state, state official, local official]",not defined further,[]
AR LEGIS 977 (2021),04/28/2021 12:00:00 AM,Arkansas,04/28/2021 12:00:00 AM,08/23/2023 12:00:00 AM,Government – school district,K-12 students,Prohibits requiring vaccination,[individual],not defined further,"[state, state agency or entity, political subdivision of a state, state official, local official]",not defined further,"[Mandates may be issued for healthcare workers, Other (specify in notes)]"
Ark. Act 1030 (2021),04/29/2021 12:00:00 AM,Arkansas,04/29/2021 12:00:00 AM,,Government – school district,School workers,Prohibits requiring vaccination,[individual],not defined further,"[state, state agency or entity, political subdivision of the state, state official, local official]",not defined further,[]
AR LEGIS 977 (2021),04/28/2021 12:00:00 AM,Arkansas,04/28/2021 12:00:00 AM,08/23/2023 12:00:00 AM,Government – school district,School workers,Prohibits requiring vaccination,[individual],not defined further,"[state, state agency or entity, political subdivision of a state, state official, local official]",not defined further,"[Mandates may be issued for healthcare workers, Other (specify in notes)]"
