citation_name,date_signed,state,effective_date,expiration_date,vaccination_mandate_group,vaccination_requirement_details,vaccination_testing_frequency,vaccination_person_exact_term,vaccination_person_definition,vaccination_religious_exemption,vaccination_medical_exemption,vaccination_enforcement,negative_test_option,negative_test_timeframe,requires_booster
"Cal. Health Order (Feb. 22, 2022) (Correctional Facilities and Detention Centers Vaccination Requirement)",02/22/2022 12:00:00 AM,California,03/01/2022 12:00:00 AM,,Congregate facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,"[Correctional facility healthcare worker, Detention center healthcare worker ]","a. All paid and unpaid individuals who are regularly assigned to provide health care or health care services to inmates, prisoners, or detainees. This may include nurses, nursing assistants, nurse practitioners, physicians, physician assistants, technicians, therapists, phlebotomists, pharmacists, mental health providers, students and trainees, dietary, and contractual staff not employed by the correctional facility or detention center. 

b. All paid and unpaid individuals who are regularly assigned to work within hospitals, skilled nursing facilities, intermediate care facilities, or the equivalent that are integrated into the correctional facility or detention center in areas where health care is provided. This includes workers providing health care to inmates, prisoners, and detainees, as well as persons not directly involved in delivering health care, but who could be exposed to infectious agents that can be transmitted in the health care setting (e.g., clerical, dietary, janitorial services, laundry, correctional officers, facilities maintenance staff, administrative, inmate workers, and volunteer personnel).","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,true
"Cal. Health Order (Jan. 25, 2022) (Correctional Facilities and Detention Centers Vaccination Requirement)",01/25/2022 12:00:00 AM,California,03/01/2022 12:00:00 AM,,Congregate facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,"[Correctional facility workers, Detention facility workers]","a. All paid and unpaid individuals who are regularly assigned to provide health care or health care services to inmates, prisoners, or detainees. This may include nurses, nursing assistants, nurse practitioners, physicians, physician assistants, technicians, therapists, phlebotomists, pharmacists, mental health providers, students and trainees, dietary, and contractual staff not employed by the correctional facility or detention center.

b. All paid and unpaid individuals who are regularly assigned to work within hospitals, skilled nursing facilities, intermediate care facilities, or the equivalent that are integrated into the correctional facility or detention center in areas where health care is provided. This includes workers providing health care to inmates, prisoners, and detainees, as well as persons not directly involved in delivering health care, but who could be exposed to infectious agents that can be transmitted in the health care setting (e.g., clerical, dietary, janitorial services, laundry, correctional officers, facilities maintenance staff, administrative, inmate workers, and volunteer personnel).","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,true
"Cal. Health Order (Dec. 22, 2021) (Correctional Facilities and Detention Centers Vaccination Requirement)",12/22/2021 12:00:00 AM,California,02/01/2022 12:00:00 AM,,Congregate facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,"[Correctional facility workers, Detention facility workers]","a. All paid and unpaid individuals who are regularly assigned to provide health care or healthcare services to inmates, prisoners, or detainees. This may include nurses, nursingassistants, nurse practitioners, physicians, physician assistants, technicians, therapists,phlebotomists, pharmacists, mental health providers, students and trainees, dietary, andcontractual sta not employed by the correctional facility or detention center.b. All paid and unpaid individuals who are regularly assigned to work within hospitals,skilled nursing facilities, intermediate care facilities, or the equivalent that are integratedinto the correctional facility or detention center in areas where health care is provided. Thisincludes workers providing health care to inmates, prisoners, and detainees, as well aspersons not directly involved in delivering health care, but who could be exposed toinfectious agents that can be transmitted in the health care setting (e.g., clerical, dietary,janitorial services, laundry, correctional oicers, facilities maintenance sta, administrative,inmate workers, and volunteer personnel)","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,true
"Cal. Health Order (July 26, 2021) Court Modification",11/26/2021 12:00:00 AM,California,11/26/2021 12:00:00 AM,,Congregate facility workers,Requires either vaccination or recurring testing,1,[workers in high-risk congregate settings],"High risk congregate settings:
Adult and Senior Care Facilities , Homeless Shelters

[Court modification: Court granted stay while appeal is pending, therefore congregate settings does not apply to State and Local Correctional Facilities and Detention Centers as written in the original Health Order]",No,No,"[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Must show proof of vaccination - IIS]",,,
"Cal. Health Order (Aug. 19, 2021)",08/19/2021 12:00:00 AM,California,10/28/2021 12:00:00 AM,,Congregate facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,"[health care workers, ]","All paid and unpaid individuals who are regularly assigned to provide health care or health care services to inmates, prisoners, or detainees. This may include nurses, nursing assistants, nurse practitioners, physicians, physician assistants, technicians, therapists, phlebotomists, pharmacists, mental health providers, students and trainees, dietary, and contractual staff not employed by the correctional facility or detention center.

All paid and unpaid individuals who are regularly assigned to work within hospitals, skilled nursing facilities, intermediate care facilities, or the equivalent that are integrated into the correctional facility or detention center in areas where health care is provided. This includes workers providing health care to inmates, prisoners, and detainees, as well as persons not directly involved in delivering health care, but who could be exposed to infectious agents that can be transmitted in the health care setting (e.g., clerical, dietary, janitorial services, laundry, correctional officers, facilities maintenance staff, administrative, inmate workers, and volunteer personnel).","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,
"Cal. Health Order (Aug. 5, 2021) (healthcare worker vaccine requirement)",08/05/2021 12:00:00 AM,California,10/14/2021 12:00:00 AM,,Congregate facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[worker],"""Worker"" refers to all paid and unpaid individuals who work in indoor settings where (1) care is provided to patients, or (2) patients have access for any purpose. This includes workers serving in health care or other health care settings who have the potential for direct or indirect exposure to patients or SARS-CoV-2 airborne aerosols. Workers include, but are not limited to, nurses, nursing assistants, physicians, technicians, therapists, phlebotomists, pharmacists, students and trainees, contractual staff not employed by the health care facility, and persons not directly involved in patient care, but who could be exposed to infectious agents that can be transmitted in the health care setting (e.g., clerical, dietary, environmental services, laundry, security, engineering and facilities management, administrative, billing, and volunteer personnel).","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,
"Cal. Health Order (July 26, 2021)",07/26/2021 12:00:00 AM,California,08/23/2021 12:00:00 AM,2021-11-26T00:00:00,Congregate facility workers,Requires either vaccination or recurring testing,1,[workers],"""worker"" refers to all paid and unpaid persons serving in health care, other health care or congregate settings who have the potential for direct or indirect exposure to patients/clients/residents or SARS-CoV-2 airborne aerosols. Works include, but are not limited to, nurses, nursing assistants, physicians, technicians, therapists, phlebotomists, pharmacists, students and trainees, contractual staff not employed by the health care facility, and persons not directly involved in patient care, but who could be exposed to infectious agents that can be transmitted in the health care settings (e.g., clerical, dietary, environmental services, laundry, security, engineering and facilities management, administrative, billing, and volunteer personnel).",No,No,"[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - 3rd party app, Must show proof of vaccination - Other]",,,
"Cal. Press Release (July 26, 2021) (state worker vax)",07/26/2021 12:00:00 AM,California,08/02/2021 12:00:00 AM,,Government workers,Requires either vaccination or recurring testing,1,[Employee],"DGS employee. Currently this memorandum is not applicable to contractors,
volunteers, or visitors. However, any contractor, volunteer or visitor should
refer to the State Employee Face Covering Requirements and abide by face
covering directives.","Yes, no documentation requirement specified","Yes, no documentation requirement specified","[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - 3rd party app, Must show proof of vaccination - Other]",,,
"Cal. Health Order (Feb. 22, 2022) (Health Care Worker Vaccine Requirement)",02/22/2022 12:00:00 AM,California,03/01/2022 12:00:00 AM,,Healthcare workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[healthcare workers],"All workers who provide services or work in facilities described in subdivision (a) have their first dose of a one-dose regimen or their second dose of a two-dose regimen by September 30, 2021:

a. Health Care Facilities:

i. General Acute Care Hospitals

ii. Skilled Nursing Facilities (including Subacute Facilities)

iii. Intermediate Care Facilities

iv. Acute Psychiatric Hospitals

v. Adult Day Health Care Centers

vi. Program of All-Inclusive Care for the Elderly (PACE) and PACE Centers

vii. Ambulatory Surgery Centers

viii. Chemical Dependency Recovery Hospitals

ix. Clinics & Doctor Offices (including behavioral health, surgical)

x. Congregate Living Health Facilities

xi. Dialysis Centers

xii. Hospice Facilities

xiii. Pediatric Day Health and Respite Care Facilities

xiv. Residential Substance Use Treatment and Mental Health Treatment Facilities

c. ""Worker"" refers to all paid and unpaid individuals who work in indoor settings where (1) care is provided to patients, or (2) patients have access for any purpose. This includes workers serving in health care or other health care settings who have the potential for direct or indirect exposure to patients or SARS-CoV-2 airborne aerosols. Workers include, but are not limited to, nurses, nursing assistants, physicians, technicians, therapists, phlebotomists, pharmacists, students and trainees, contractual staff not employed by the health care facility, and persons not directly involved in patient care, but who could be exposed to infectious agents that can be transmitted in the health care setting (e.g., clerical, dietary, environmental services, laundry, security, engineering and facilities management, administrative, billing, and volunteer personnel).
2. All workers currently eligible for boosters, who provide services or work in facilities described in subdivision 1(a) must be ""fully vaccinated and boosted"" for COVID-19 receiving all recommended doses of the primary series of vaccines and a vaccine booster dose pursuant to Table A below.","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,true
"Cal. Health Order (Jan. 25, 2022) (Health Care Worker Vaccine Requirement)",01/25/2022 12:00:00 AM,California,03/01/2022 12:00:00 AM,,Healthcare workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[healthcare workers],"All workers who provide services or work in facilities described in subdivision (a) have their first dose of a one-dose regimen or their second dose of a two-dose regimen by September 30, 2021:

a. Health Care Facilities:

i. General Acute Care Hospitals
ii. Skilled Nursing Facilities (including Subacute Facilities)
iii. Intermediate Care Facilities
iv. Acute Psychiatric Hospitals
v. Adult Day Health Care Centers
vi. Program of All-Inclusive Care for the Elderly (PACE) and PACE Centers
vii. Ambulatory Surgery Centers
viii. Chemical Dependency Recovery Hospitals
ix. Clinics & Doctor Offices (including behavioral health, surgical)
x. Congregate Living Health Facilities
xi. Dialysis Centers
xii. Hospice Facilities
xiii. Pediatric Day Health and Respite Care Facilities
xiv. Residential Substance Use Treatment and Mental Health Treatment Facilities

All workers currently eligible for boosters, who provide services or work in facilities described in subdivision 1(a) must be ""fully vaccinated and boosted"" for COVID-19 receiving all recommended doses of the primary series of vaccines and a vaccine booster dose pursuant to Table A below.","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,true
"Cal. Health Order (Dec. 22, 2021) (Health Care Worker Vaccine Requirement)",12/22/2021 12:00:00 AM,California,02/01/2022 12:00:00 AM,,Healthcare workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[healthcare workers],"All workers who provide services or work in facilities described in subdivision (a) have their first dose of a one-dose regimen or their second dose of a two-dose regimen by September 30, 2021: a. Health Care Facilities: i. General Acute Care Hospitals ii. Skilled Nursing Facilities (including Subacute Facilities) iii. Intermediate Care Facilities iv. Acute Psychiatric Hospitals v. Adult Day Health Care Centers vi. Program of All-Inclusive Care for the Elderly (PACE) and PACE Centers vii. Ambulatory Surgery Centers viii. Chemical Dependency Recovery Hospitals ix. Clinics & Doctor Offices (including behavioral health, surgical) x. Congregate Living Health Facilities xi. Dialysis Centers xii. Hospice Facilities xiii. Pediatric Day Health and Respite Care Facilities xiv. Residential Substance Use Treatment and Mental Health Treatment Facilities 2. All workers currently eligible for boosters, who provide services or work in facilities described in subdivision 1(a) must be ""fully vaccinated and boosted"" for COVID-19 receiving all recommended doses of the primary series of vaccines and a vaccine booster dose pursuant to Table A below.","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,true
"Cal. Health Order (Aug. 5, 2021) (healthcare worker vaccine requirement)",08/05/2021 12:00:00 AM,California,10/14/2021 12:00:00 AM,,Healthcare workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[worker],"""Worker"" refers to all paid and unpaid individuals who work in indoor settings where (1) care is provided to patients, or (2) patients have access for any purpose. This includes workers serving in health care or other health care settings who have the potential for direct or indirect exposure to patients or SARS-CoV-2 airborne aerosols. Workers include, but are not limited to, nurses, nursing assistants, physicians, technicians, therapists, phlebotomists, pharmacists, students and trainees, contractual staff not employed by the health care facility, and persons not directly involved in patient care, but who could be exposed to infectious agents that can be transmitted in the health care setting (e.g., clerical, dietary, environmental services, laundry, security, engineering and facilities management, administrative, billing, and volunteer personnel).","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,
"Cal. Health Order (July 26, 2021)",07/26/2021 12:00:00 AM,California,08/23/2021 12:00:00 AM,,Healthcare workers,Requires either vaccination or recurring testing,1,[worker],"""worker"" refers to all paid and unpaid persons serving in health care, other health care or congregate settings who have the potential for direct or indirect exposure to patients/clients/residents or SARS-CoV-2 airborne aerosols. Works include, but are not limited to, nurses, nursing assistants, physicians, technicians, therapists, phlebotomists, pharmacists, students and trainees, contractual staff not employed by the health care facility, and persons not directly involved in patient care, but who could be exposed to infectious agents that can be transmitted in the health care settings (e.g., clerical, dietary, environmental services, laundry, security, engineering and facilities management, administrative, billing, and volunteer personnel).",No,No,"[Must show proof of vaccination - Vaccine card, Must show proof of vaccination - Other, Must show proof of vaccination - 3rd party app]",,,
"Cal. Health Order (Feb. 22, 2022) (Adult Care Facilities and Direct Care Workers Vaccine Requirement)",02/22/2022 12:00:00 AM,California,03/01/2022 12:00:00 AM,,Long-term care facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,"[Adult Care Facilities and Direct Care Workers,  In-home direct care services workers, Waiver personal care services (WPCS) providers, Hospice workers, Regional center employees]","a. All workers who provide services or work in Adult and Senior Care Facilities licensed by the California Department of Social Services;

b. All in-home direct care services workers, including registered home care aides and certified home health aides, except for those workers who only provide services to a recipient with whom they live or who are a family member of the recipient for whom they provide services;

c. All waiver personal care services (WPCS) providers, as defined by the California Department of Health Care Services, and in-home supportive services (IHSS) providers, as defined by the California Department of Social Services, except for those workers who only provide services to a recipient with whom they live or who are a family member of the recipient for whom they provide services;

d. All hospice workers who are providing services in the home or in a licensed facility; and

e. All regional center employees, as well as service provider workers, who provide services to a consumer through the network of Regional Centers serving individuals with developmental and intellectual disabilities, except for those workers who only provide services to a recipient with whom they live or who are a family member of the recipient for whom they provide services.

""Worker"" refers to all paid and unpaid individuals who work in indoor settings where (1) care is provided to individuals, or (2) persons in care have access for any purpose. This includes workers serving in residential care or other direct care settings who have the potential for direct or indirect exposure to persons in care or SARS-CoV-2 airborne aerosols. Workers include, but are not limited to, direct supportive services staff, hospice providers, nurses, nursing assistants, physicians, technicians, therapists, WPCS providers, IHSS providers, registered home care aides, certified home health aides, students and trainees, contractual staff not employed by the residential facility, and persons not directly involved in providing care or services, but who could be exposed to infectious agents that can be transmitted in the care setting (e.g., clerical, clergy, dietary, environmental services, laundry, security, engineering and facilities management, administrative, billing, cosmetology, personal training and volunteer personnel).","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,true
"Cal. Health Order (Jan. 25, 2022) (Adult Care Facilities and Direct Care Workers Vaccine Requirement)",01/25/2022 12:00:00 AM,California,03/01/2022 12:00:00 AM,,Long-term care facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,"[Adult Care Facilities and Direct Care Workers, In-home direct care services workers, All waiver personal care services (WPCS) providers, Hospice workers, Regional center employees]","a. All workers who provide services or work in Adult and Senior Care Facilities licensed by the California Department of Social Services;

b. All in-home direct care services workers, including registered home care aides and certified home health aides, except for those workers who only provide services to a recipient with whom they live or who are a family member of the recipient for whom they provide services;

c. All waiver personal care services (WPCS) providers, as defined by the California Department of Health Care Services, and in-home supportive services (IHSS) providers, as defined by the California Department of Social Services, except for those workers who only provide services to a recipient with whom they live or who are a family member of the recipient for whom they provide services;

d. All hospice workers who are providing services in the home or in a licensed facility; and

e. All regional center employees, as well as service provider workers, who provide services to a consumer through the network of Regional Centers serving individuals with developmental and intellectual disabilities, except for those workers who only provide services to a recipient with whom they live or who are a family member of the recipient for whom they provide services.

4. ""Worker"" refers to all paid and unpaid individuals who work in indoor settings where (1) care is provided to individuals, or (2) persons in care have access for any purpose. This includes workers serving in residential care or other direct care settings who have the potential for direct or indirect exposure to persons in care or SARS-CoV-2 airborne aerosols. Workers include, but are not limited to, direct supportive services staff, hospice providers, nurses, nursing assistants, physicians, technicians, therapists, WPCS providers, IHSS providers, registered home care aides, certified home health aides, students and trainees, contractual staff not employed by the residential facility, and persons not directly involved in providing care or services, but who could be exposed to infectious agents that can be transmitted in the care setting (e.g., clerical, clergy, dietary, environmental services, laundry, security, engineering and facilities management, administrative, billing, cosmetology, personal training and volunteer personnel).","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,true
"Cal. Health Order (Dec. 22, 2021) (Adult Care Facilities and Direct Care Worker Vaccine Requirement)",12/22/2021 12:00:00 AM,California,02/01/2022 12:00:00 AM,,Long-term care facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,"[workers, Adult Care Facilities and Direct Care Workers,  In-home direct care services workers, Waiver personal care services (WPCS) providers, Hospice workers, Regional center employees]","a. All workers who provide services or work in Adult and Senior Care Facilities licensed by the California Department of Social Services;

b. All in-home direct care services workers, including registered home care aides and certified home health aides, except for those workers who only provide services to a recipient with whom they live or who are a family member of the recipient for whom they provide services;

c. All waiver personal care services (WPCS) providers, as defined by the California Department of Health Care Services, and in-home supportive services (IHSS) providers, as defined by the California Department of Social Services, except for those workers who only provide services to a recipient with whom they live or who are a family member of the recipient for whom they provide services;

d. All hospice workers who are providing services in the home or in a licensed facility; and

e. All regional center employees, as well as service provider workers, who provide services to a consumer through the network of Regional Centers serving individuals with developmental and intellectual disabilities, except for those workers who only provide services to a recipient with whom they live or who are a family member of the recipient for whom they provide services.

4. ""Worker"" refers to all paid and unpaid individuals who work in indoor settings where (1) care is provided to individuals, or (2) persons in care have access for any purpose. This includes workers serving in residential care or other direct care settings who have the potential for direct or indirect exposure to persons in care or SARS-CoV-2 airborne aerosols. Workers include, but are not limited to, direct supportive services staff, hospice providers, nurses, nursing assistants, physicians, technicians, therapists, WPCS providers, IHSS providers, registered home care aides, certified home health aides, students and trainees, contractual staff not employed by the residential facility, and persons not directly involved in providing care or services, but who could be exposed to infectious agents that can be transmitted in the care setting (e.g., clerical, clergy, dietary, environmental services, laundry, security, engineering and facilities management, administrative, billing, cosmetology, personal training and volunteer personnel).","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,true
"Cal. Health Order Adult Care Facilities and Direct Care Worker Vaccine Requirement (Sept. 27, 2021)",09/27/2021 12:00:00 AM,California,01/13/2022 12:00:00 AM,,Long-term care facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,"[workers, Adult Care Facilities and Direct Care Workers,  registered home care aides, certified home health aides, hospice workers , waiver personal care services providers, regional center employees]","a.	All workers who provide services or work in Adult and Senior Care Facilities licensed by the California Department of Social Services; 

b.	All in-home direct care services workers, including registered home care aides and certified home health aides, except for those workers who only provide services to a recipient with whom they live or who are a family member of the recipient for whom they provide services;

c.	All waiver personal care services (WPCS) providers, as defined by the California Department of Health Care Services, and in-home supportive services (IHSS) providers, as defined by the California Department of Social Services, except for those workers who only provide services to a recipient with whom they live or who are a family member of the recipient for whom they provide services;

d.	All hospice workers who are providing services in the home or in a licensed facility; and 

e.	All regional center employees, as well as service provider workers, who provide services to a consumer through the network of Regional Centers serving individuals with developmental and intellectual disabilities, except for those workers who only provide services to a recipient with whom they live or who are a family member of the recipient for whom they provide services.","Yes, requires unspecified supporting documentation","Yes, requires specific supporting documentation",[],,,
"Cal. Health Order (Aug. 5, 2021) (healthcare worker vaccine requirement)",08/05/2021 12:00:00 AM,California,10/14/2021 12:00:00 AM,,Long-term care facility workers,"Requires vaccination, but allows some exemptions (e.g., religious, medical)",,[Worker],"""Worker"" refers to all paid and unpaid individuals who work in indoor settings where (1) care is provided to patients, or (2) patients have access for any purpose. This includes workers serving in health care or other health care settings who have the potential for direct or indirect exposure to patients or SARS-CoV-2 airborne aerosols. Workers include, but are not limited to, nurses, nursing assistants, physicians, technicians, therapists, phlebotomists, pharmacists, students and trainees, contractual staff not employed by the health care facility, and persons not directly involved in patient care, but who could be exposed to infectious agents that can be transmitted in the health care setting (e.g., clerical, dietary, environmental services, laundry, security, engineering and facilities management, administrative, billing, and volunteer personnel).","Yes, requires specific supporting documentation","Yes, requires specific supporting documentation",[],,,
